Week,Week Title,Date,#,Lecture,,Lab Release,Lab Due,Project Release,Project Due,Notes
1,,Mon 01/08/24,,,,Lab 1,,Project 1,,
,,Tue 01/09/24,1,The Value of Visualization,,,,,,
,,Wed 01/10/24,,,,,,,,
,,Thu 01/11/24,2,Data & Image Models,,,,,,
,,Fri 01/12/24,,,,Lab 2,Lab 1: Altair,,,
2,,Mon 01/15/24,,,,,,,,
,,Tue 01/16/24,3,Visual Encoding & Design,,,,,,
,,Wed 01/17/24,,,,,,,,
,,Thu 01/18/24,4,Deceptive Visualization,,,,,,
,,Fri 01/19/24,,,,Lab 3,Lab 2: HTML/CSS,Project 2,Project 1: Expository Visualization,
3,,Mon 01/22/24,,,,,,,,
,,Tue 01/23/24,5,Exploratory Data Analysis,,,,,,
,,Wed 01/24/24,,,,,,,,
,,Thu 01/25/24,6,Interaction,,,,,,
,,Fri 01/26/24,,,,Lab 4,"Lab 3: JavaScript, SVG",,,
4,,Mon 01/29/24,,,,,,,,
,,Tue 01/30/24,7,Maps,,,,,,
,,Wed 01/31/24,,,,,,,,
,,Thu 02/01/24,8,Visualization Tools,,,,,,
,,Fri 02/02/24,,,,Lab 5,Lab 4: Svelte,Project 3,Project 2: Deceptive Visualization,
5,,Mon 02/05/24,,,,,,,,
,,Tue 02/06/24,9,D3.js,,,,,,
,,Wed 02/07/24,,,,,,,,
,,Thu 02/08/24,10,Animation,,,,,,
,,Fri 02/09/24,,,,Lab 6,Lab 5: D3,,Project 2 Peer Review,
6,,Mon 02/12/24,,,,,,,,
,,Tue 02/13/24,11,Color,,,,,,
,,Wed 02/14/24,,,,,,,,
,,Thu 02/15/24,12,Prototype demos,,,,,,
,,Fri 02/16/24,,,,Lab 7,Lab 6: Mapbox.js,Final Project,Project 3: Interactive Visualization,
7,,Mon 02/19/24,,,,,,,,
,,Tue 02/20/24,13,Perception,,,,,,
,,Wed 02/21/24,,,,,,,,
,,Thu 02/22/24,14,Networks,,,,,,
,,Fri 02/23/24,,,,,Lab 7: Scrollytelling,,"Project 3 Peer Review, Final Project Proposal",
8,,Mon 02/26/24,,,,,,,,
,,Tue 02/27/24,15,Uncertainty,,,,,,
,,Wed 02/28/24,,,,,,,,
,,Thu 02/29/24,16,Scalable Visualization,,,,,,
,,Fri 03/01/24,,,,,,,Final Project Prototype,
9,,Mon 03/04/24,,,,,,,,
,,Tue 03/05/24,17,Evaluation & Review,,,,,,
,,Wed 03/06/24,,,,,,,,
,,Thu 03/07/24,18,Final Project Feedback,,,,,,
,,Fri 03/08/24,,,,,,,Final Project Demo Video,
10,,Mon 03/11/24,,,,,,,,
,,Tue 03/12/24,19,Narrative,,,,,,
,,Wed 03/13/24,,,,,,,,
,,Thu 03/14/24,20,Final Project Showcase,,,,,,
,,Fri 03/15/24,,,,,,,,
11,,Sat 03/16/24,,Final Exam,,,,,Final Project,