city,lat,lon,month,monthnum,sunshine,rain
San Diego,32.715736,-117.161087,Jan,1,217,1.53
San Diego,32.715736,-117.161087,Feb,2,255,0.15
San Diego,32.715736,-117.161087,Mar,3,234,0.57
San Diego,32.715736,-117.161087,Apr,4,236,1.01
San Diego,32.715736,-117.161087,May,5,277,0.02
San Diego,32.715736,-117.161087,Jun,6,293,0.03
San Diego,32.715736,-117.161087,Jul,7,253,0.07
San Diego,32.715736,-117.161087,Aug,8,261,0.12
San Diego,32.715736,-117.161087,Sep,9,242,0.78
San Diego,32.715736,-117.161087,Oct,10,262,1.81
San Diego,32.715736,-117.161087,Nov,11,212,2.27
San Diego,32.715736,-117.161087,Dec,12,216,1.98
San Francisco,37.774929,-122.419418,Jan,1,330,0.16
San Francisco,37.774929,-122.419418,Feb,2,300,0.01
San Francisco,37.774929,-122.419418,Mar,3,314,0.7
San Francisco,37.774929,-122.419418,Apr,4,281,1.46
San Francisco,37.774929,-122.419418,May,5,251,3.26
San Francisco,37.774929,-122.419418,Jun,6,182,4.46
San Francisco,37.774929,-122.419418,Jul,7,165,4.5
San Francisco,37.774929,-122.419418,Aug,8,272,0.06
San Francisco,37.774929,-122.419418,Sep,9,267,0.21
San Francisco,37.774929,-122.419418,Oct,10,243,1.12
San Francisco,37.774929,-122.419418,Nov,11,189,3.16
San Francisco,37.774929,-122.419418,Dec,12,156,4.56
Chicago,41.878113,-87.629799,Jan,1,126,1.85
Chicago,41.878113,-87.629799,Feb,2,142,1.61
Chicago,41.878113,-87.629799,Mar,3,199,2.76
Chicago,41.878113,-87.629799,Apr,4,221,3.03
Chicago,41.878113,-87.629799,May,5,274,3.74
Chicago,41.878113,-87.629799,Jun,6,300,4.06
Chicago,41.878113,-87.629799,Jul,7,333,3.39
Chicago,41.878113,-87.629799,Aug,8,299,3.15
Chicago,41.878113,-87.629799,Sep,9,247,2.72
Chicago,41.878113,-87.629799,Oct,10,216,2.8
Chicago,41.878113,-87.629799,Nov,11,136,2.2
Chicago,41.878113,-87.629799,Dec,12,118,1.89
Houston,29.760427,-95.369804,Jan,1,142,3.35
Houston,29.760427,-95.369804,Feb,2,155,3.19
Houston,29.760427,-95.369804,Mar,3,192,3.39
Houston,29.760427,-95.369804,Apr,4,210,3.31
Houston,29.760427,-95.369804,May,5,248,5.08
Houston,29.760427,-95.369804,Jun,6,282,5.91
Houston,29.760427,-95.369804,Jul,7,294,3.78
Houston,29.760427,-95.369804,Aug,8,269,3.74
Houston,29.760427,-95.369804,Sep,9,237,4.09
Houston,29.760427,-95.369804,Oct,10,229,5.67
Houston,29.760427,-95.369804,Nov,11,168,4.33
Houston,29.760427,-95.369804,Dec,12,148,3.74
New York City,40.712776,-74.005974,Jan,1,154,3.9
New York City,40.712776,-74.005974,Feb,2,171,2.95
New York City,40.712776,-74.005974,Mar,3,213,4.06
New York City,40.712776,-74.005974,Apr,4,237,3.94
New York City,40.712776,-74.005974,May,5,268,4.45
New York City,40.712776,-74.005974,Jun,6,289,3.5
New York City,40.712776,-74.005974,Jul,7,302,4.53
New York City,40.712776,-74.005974,Aug,8,271,4.13
New York City,40.712776,-74.005974,Sep,9,235,3.98
New York City,40.712776,-74.005974,Oct,10,213,3.39
New York City,40.712776,-74.005974,Nov,11,169,3.82
New York City,40.712776,-74.005974,Dec,12,155,3.58
Miami,25.761681,-80.191788,Jan,1,222,1.62
Miami,25.761681,-80.191788,Feb,2,227,2.25
Miami,25.761681,-80.191788,Mar,3,266,3
Miami,25.761681,-80.191788,Apr,4,275,3.14
Miami,25.761681,-80.191788,May,5,280,5.34
Miami,25.761681,-80.191788,Jun,6,251,9.67
Miami,25.761681,-80.191788,Jul,7,267,6.5
Miami,25.761681,-80.191788,Aug,8,263,8.88
Miami,25.761681,-80.191788,Sep,9,216,9.86
Miami,25.761681,-80.191788,Oct,10,215,6.33
Miami,25.761681,-80.191788,Nov,11,212,3.27
Miami,25.761681,-80.191788,Dec,12,209,2.04